ID,工作名称,招聘详细链接,公司名称,公司ID,公司性质,公司规模,公司招聘主页,公司地点,薪资,学历要求,工作经历,职位类型,公司福利,工作发布标签,更新时间
CC327851310J00153236210,运维开发工程师（Python 方向）(000453),https://jobs.zhaopin.com/CC327851310J00153236210.htm,畅捷通信息技术股份有限公司,CZ327851310,股份制企业,1000-9999人,https://company.zhaopin.com/CZ327851310.htm,北京,15K-30K,本科,3-5年,全职,无,最新,2019-06-27 17:28:23
CC429997088J00153853710,python开发工程师,https://jobs.zhaopin.com/CC429997088J00153853710.htm,北京隆缔文化传媒有限公司,CZ429997080,外商独资,100-499人,https://company.zhaopin.com/CZ429997080.htm,北京-东城区,10K-15K,大专,1-3年,全职,五险一金、节日福利、周末双休、公司重点项目,最新,2019-06-27 16:45:40
CC698544420J00154021109,python开发工程师,https://jobs.zhaopin.com/CC698544420J00154021109.htm,北京云互联科技有限公司,CZ698544420,民营,100-499人,https://company.zhaopin.com/CZ698544420.htm,北京,12K-16K,本科,3-5年,全职,五险一金、加班补助、定期团建、周末双休、大牛带队,最新,2019-06-27 22:04:07
CC421590812J00148148615,python开发工程师,https://jobs.zhaopin.com/CC421590812J00148148615.htm,特德营销咨询(北京)有限公司,CZ421590810,外商独资,20人以下,https://company.zhaopin.com/CZ421590810.htm,北京,15K-20K,本科,3-5年,全职,五险一金、带薪年假、加班补助、年终分红、交通补助,最新,2019-06-27 21:39:17
CC120070365J00382815405,python,https://jobs.zhaopin.com/CC120070365J00382815405.htm,上海播扬信息科技有限公司,CZ120070360,民营,100-499人,https://company.zhaopin.com/CZ120070360.htm,北京-朝阳区,20K-30K,本科,3-5年,全职,五险一金、年底双薪、绩效奖金、加班补助、周末双休,最新,2019-06-27 19:27:07
CC483542232J90250014000,Python工程师,https://jobs.zhaopin.com/483542232250014.htm,北京智扬通达科技有限公司,CZ483542230,民营,100-499人,https://company.zhaopin.com/CZ483542230.htm,北京,10K-15K,大专,不限,全职,五险一金、年底双薪、交通补助、通讯补助、加班补助,最新,2019-06-27 17:26:01
CC653778824J00177754411,Python软件开发工程师,https://jobs.zhaopin.com/CC653778824J00177754411.htm,北京集展科技有限公司,CZ653778820,民营,20-99人,https://company.zhaopin.com/CZ653778820.htm,北京-石景山区,10K-15K,本科,1-3年,全职,周末双休、年底双薪、带薪年假、节日福利、五险一金,最新,2019-06-27 19:31:53
CC217000521J00074229312,Python高级讲师,https://jobs.zhaopin.com/CC217000521J00074229312.htm,北京中公教育科技有限公司,CZ217000520,上市公司,10000人以上,http://special.zhaopin.com/2018/bf/bjzg031980N/,北京,10K-20K,本科,1-3年,全职,节日福利、五险一金、绩效奖金、包吃、带薪年假,最近,2019-06-25 09:42:38
CC000140955J00138069413,WEB服务架构师(Python方向)—北京/重庆,https://jobs.zhaopin.com/CC000140955J00138069413.htm,北京中创信测科技股份有限公司,CZ000140950,民营,100-499人,https://company.zhaopin.com/CZ000140950.htm,北京-海淀区,30K-50K,本科,5-10年,全职,周末双休、五险一金、带薪年假、弹性工作、定期体检,最新,2019-06-27 17:02:34
CC142710115J00123274915,遥感算法（C/C++、python）-气象、生态遥感,https://jobs.zhaopin.com/CC142710115J00123274915.htm,中科星图股份有限公司,CZ142710110,股份制企业,500-999人,http://special.zhaopin.com/pagepublish/14271011/index.html,北京-海淀区,13K-25K,硕士,1-3年,全职,节日福利、工作居住证、全额公积金、试用期全额、住房补贴,最近,2019-06-26 15:42:01
CC405275688J00164962213,高级Python爬虫工程师 (MJ000070),https://jobs.zhaopin.com/CC405275688J00164962213.htm,柔持(北京)科技有限公司,CZ405275680,民营,500-999人,https://company.zhaopin.com/CZ405275680.htm,北京,25K-40K,本科,不限,全职,五险一金、年底双薪、绩效奖金、交通补助、餐补,最新,2019-06-27 16:37:18
CC133534001J00110469713,python开发工程师,https://jobs.zhaopin.com/CC133534001J00110469713.htm,北京四维智联科技有限公司,CZ133534000,民营,500-999人,https://company.zhaopin.com/CZ133534000.htm,北京,10K-15K,大专,3-5年,全职,五险一金、年底双薪、弹性工作、员工旅游、节日福利,最新,2019-06-27 18:53:25
CZ700010280J00148888015,python,https://jobs.zhaopin.com/CZ700010280J00148888015.htm,北京青蓝致远科技有限公司,CZ700010280,股份制企业,100-499人,https://company.zhaopin.com/CZ700010280.htm,北京-海淀区,8K-12K,大专,3-5年,全职,年底双薪、五险一金、周末双休、带薪年假、节日福利,最新,2019-06-27 16:37:06
CC302682517J00144337115,python开发工程师,https://jobs.zhaopin.com/CC302682517J00144337115.htm,北京华正明天信息技术股份有限公司,CZ302682510,民营,100-499人,https://company.zhaopin.com/CZ302682510.htm,北京-海淀区,13K-18K,本科,3-5年,全职,五险一金、绩效奖金、餐补、带薪年假、定期体检,最新,2019-06-27 16:27:49
CC217000521J90259320000,IT培训讲师（Python）,https://jobs.zhaopin.com/217000521259320.htm,北京中公教育科技有限公司,CZ217000520,上市公司,10000人以上,http://special.zhaopin.com/2018/bf/bjzg031980N/,北京,10K-15K,本科,不限,全职,五险一金、绩效奖金、股票期权、带薪年假、定期体检,最近,2019-06-25 09:42:43
CC508620126J00383850105,（腾讯云）python工程师,https://jobs.zhaopin.com/CC508620126J00383850105.htm,中软国际科技服务有限公司深圳分公司,CZ508620120,上市公司,10000人以上,https://company.zhaopin.com/CZ508620120.htm,北京,薪资面议,大专,1-3年,全职,五险一金、带薪年假、弹性工作、免费班车、周末双休,最新,2019-06-27 19:11:52
CC837482500J00143978314,Python,https://jobs.zhaopin.com/CC837482500J00143978314.htm,北京立志博达科技有限公司,CZ837482500,合资,500-999人,https://company.zhaopin.com/CZ837482500.htm,北京,10K-20K,本科,3-5年,全职,五险一金、弹性工作、节日福利、周末双休,最新,2019-06-27 12:11:13
CC142710115J00123291815,服务端开发（Java、python、C++、go）,https://jobs.zhaopin.com/CC142710115J00123291815.htm,中科星图股份有限公司,CZ142710110,股份制企业,500-999人,http://special.zhaopin.com/pagepublish/14271011/index.html,北京-海淀区,18K-36K,本科,3-5年,全职,节日福利、工作居住证、全额公积金、试用期全额、住房补贴,招聘中,2019-06-24 15:42:25
CC135424103J00115229309,软件开发工程师 （Python方向）(001631),https://jobs.zhaopin.com/CC135424103J00115229309.htm,北京辰安科技股份有限公司,CZ135424100,上市公司,1000-9999人,http://special.zhaopin.com/pagepublish/13542410/index.html,北京,15K-25K,本科,3-5年,全职,五险一金、绩效奖金、交通补助、餐补、通讯补助,最近,2019-06-26 09:35:02
CC157555827J00282146707,中级研发工程师（Python）,https://jobs.zhaopin.com/CC157555827J00282146707.htm,南京高泰科技有限公司,CZ157555820,民营,20-99人,https://company.zhaopin.com/CZ157555820.htm,北京,13K-18K,本科,5-10年,全职,周末双休、五险一金、通讯补助、带薪年假、节日福利,最新,2019-06-27 09:02:30
CC000423265J00087562213,高级零售系统工程师 （Python工程师）,https://jobs.zhaopin.com/CC000423265J00087562213.htm,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",CZ000423260,外商独资,10000人以上,http://special.zhaopin.com/bj/2010/lzsz032322/index.htm,北京,薪资面议,本科,5-10年,全职,无,最新,2019-06-27 10:09:50
CC000423265J00091978513,python开发工程师,https://jobs.zhaopin.com/CC000423265J00091978513.htm,"绫致时装（天津）有限公司/Bestseller Fashion Group (Tianjin) Co.,Ltd",CZ000423260,外商独资,10000人以上,http://special.zhaopin.com/bj/2010/lzsz032322/index.htm,北京,薪资面议,本科,5-10年,全职,周末双休、五险一金、年底双薪、绩效奖金、交通补助,最新,2019-06-27 10:04:59
CC000544466J00155714209,Python开发,https://jobs.zhaopin.com/CC000544466J00155714209.htm,软通动力信息技术(集团)有限公司,CZ000544460,上市公司,10000人以上,http://special.zhaopin.com/bj/2012/rtdl07115276/,北京-昌平区,10K-15K,本科,3-5年,全职,无,最近,2019-06-26 14:04:57
CC428715824J00087561114,运维开发工程师（2年以上python开发经验）,https://jobs.zhaopin.com/CC428715824J00087561114.htm,北京金色华勤数据服务有限公司,CZ428715820,民营,100-499人,https://company.zhaopin.com/CZ428715820.htm,北京-海淀区,25K-35K,本科,5-10年,全职,周末双休、五险一金、带薪年假、年底双薪、年终分红,最新,2019-06-27 09:14:50
CC314062020J00167985311,python后端工程师 (MJ000447),https://jobs.zhaopin.com/CC314062020J00167985311.htm,北京泡泡玛特文化创意股份有限公司,CZ314062020,上市公司,1000-9999人,https://company.zhaopin.com/CZ314062020.htm,北京-朝阳区,15K-20K,学历不限,3-5年,全职,弹性工作、带薪年假、五险一金、年底双薪、绩效奖金,最新,2019-06-27 09:19:45
CC447211938J00279669702,python,https://jobs.zhaopin.com/CC447211938J00279669702.htm,重庆软维科技有限公司,CZ447211930,民营,100-499人,https://company.zhaopin.com/CZ447211930.htm,北京,10K-15K,本科,1-3年,全职,五险一金、带薪年假、定期体检、节日福利、公司重点项目,最新,2019-06-27 08:52:36
CC120493136J00128254612,Python研发工程师(001288),https://jobs.zhaopin.com/CC120493136J00128254612.htm,空中网,CZ120493130,上市公司,1000-9999人,https://company.zhaopin.com/CZ120493130.htm,北京,12K-18K,本科,3-5年,全职,五险一金、餐补、带薪年假、定期体检、补充医疗保险,最近,2019-06-26 15:25:40
CC689935929J00153996712,java+python（AI人工智能方向)开发实习生,https://jobs.zhaopin.com/CC689935929J00153996712.htm,北京百知教育科技有限公司,CZ689935920,股份制企业,500-999人,https://company.zhaopin.com/CZ689935920.htm,北京-海淀区,8K-16K,大专,不限,全职,14薪、住房补贴、每年多次调薪、周末双休、五险一金,最新,2019-06-28 08:02:00
CC689935929J00153998812,Python（AI人工智能）开发实习生,https://jobs.zhaopin.com/CC689935929J00153998812.htm,北京百知教育科技有限公司,CZ689935920,股份制企业,500-999人,https://company.zhaopin.com/CZ689935920.htm,北京-海淀区,8K-16K,大专,不限,全职,14薪、住房补贴、每年多次调薪、周末双休、五险一金,最新,2019-06-28 08:02:49
CC428715824J90251186000,Python开发工程师,https://jobs.zhaopin.com/428715824251186.htm,北京金色华勤数据服务有限公司,CZ428715820,民营,100-499人,https://company.zhaopin.com/CZ428715820.htm,北京,15K-20K,学历不限,不限,全职,五险一金、带薪年假,最新,2019-06-27 09:14:46
CC120160395J00055788115,　Python工程师,https://jobs.zhaopin.com/CC120160395J00055788115.htm,中科软科技股份有限公司,CZ120160390,股份制企业,1000-9999人,http://special.zhaopin.com/bj/2013/zkrk062859,北京,6K-10K,本科,不限,全职,五险一金、绩效奖金、加班补助、餐补、带薪年假,最近,2019-06-26 17:10:29
CC147350823J00119286014,python工程师,https://jobs.zhaopin.com/CC147350823J00119286014.htm,北京安码科技有限公司,CZ147350820,民营,100-499人,http://special.zhaopin.com/pagepublish/14735082/index.html,北京,15K-20K,本科,3-5年,全职,周末双休、五险一金、绩效奖金、带薪年假、定期体检,最近,2019-06-26 09:05:59
CC550396880J00161393013,python讲师-转网络安全讲师方向,https://jobs.zhaopin.com/CC550396880J00161393013.htm,北京中启创优企业管理咨询有限公司,CZ550396880,民营,100-499人,https://company.zhaopin.com/CZ550396880.htm,北京,20K-40K,大专,3-5年,兼职/临时,五险一金、绩效奖金、带薪年假、每年多次调薪、带团队,最近,2019-06-25 09:32:32
CC549324722J00393038101,资深Python工程师,https://jobs.zhaopin.com/CC549324722J00393038101.htm,苏州科技城,CZ549324720,其它,100-499人,http://special.zhaopin.com/2018/sz/szkj020927/,北京-海淀区,薪资面议,本科,3-5年,全职,五险一金、绩效奖金、年底双薪、带薪年假、项目奖金,最新,2019-06-27 10:37:00
CC120016212J00146498711,python软件工程师,https://jobs.zhaopin.com/CC120016212J00146498711.htm,北京电子控股有限责任公司,CZ120016210,国企,10000人以上,http://special.zhaopin.com/2019/bf/bjdz012180/,北京,13K-18K,本科,3-5年,全职,五险一金、绩效奖金、餐补、采暖补贴、节日福利,最新,2019-06-27 09:08:21
CC000404489J90250996000,Python高级工程师,https://jobs.zhaopin.com/000404489250996.htm,北京首都在线科技股份有限公司,CZ000404480,股份制企业,100-499人,https://company.zhaopin.com/CZ000404480.htm,北京,15K-30K,本科,3-5年,全职,五险一金、绩效奖金、通讯补助、带薪年假、弹性工作,最新,2019-06-27 09:07:41
CC429164030J00132933314,Python高级讲师,https://jobs.zhaopin.com/CC429164030J00132933314.htm,北京华清远见科技发展有限公司,CZ429164030,民营,500-999人,https://company.zhaopin.com/CZ429164030.htm,北京,10K-15K,大专,1-3年,全职,五险一金、绩效奖金、全勤奖、餐补、带薪年假,最近,2019-06-26 09:14:29
CC506424920J00143488614,高级python工程师,https://jobs.zhaopin.com/CC506424920J00143488614.htm,AAA教育,CZ506424920,民营,100-499人,http://special.zhaopin.com/pagepublish/50642492/index.html,北京-海淀区,30K-40K,本科,5-10年,全职,五险一金、绩效奖金、餐补、通讯补助、弹性工作,招聘中,2019-06-24 17:16:07
CC141071850J90250392000,Linux C/C++/Python（存储开发方向）,https://jobs.zhaopin.com/141071850250392.htm,北京数盾信息科技有限公司,CZ141071850,民营,100-499人,https://company.zhaopin.com/CZ141071850.htm,北京-丰台区,12K-20K,本科,1-3年,全职,无,最近,2019-06-26 14:21:04
CC554174721J00046775114,python工程师,https://jobs.zhaopin.com/CC554174721J00046775114.htm,数据堂(北京)科技股份有限公司,CZ554174720,股份制企业,100-499人,https://company.zhaopin.com/CZ554174720.htm,北京,10K-15K,本科,1-3年,全职,周末双休、五险一金、弹性工作、带薪年假、补充医疗保险,最近,2019-06-25 09:33:39
CC120717434J90251429000,Python大数据工程师,https://jobs.zhaopin.com/120717434251429.htm,西安长河通讯有限责任公司,CZ120717430,民营,1000-9999人,http://special.zhaopin.com/pagepublish/12071743/index.html,北京,10K-15K,大专,3-5年,全职,包住、定期团建,最近,2019-06-26 11:09:39
CC000404489J00048555711,Python开发工程师（五路居地铁+集团子公司,https://jobs.zhaopin.com/CC000404489J00048555711.htm,北京首都在线科技股份有限公司,CZ000404480,股份制企业,100-499人,https://company.zhaopin.com/CZ000404480.htm,北京,15K-25K,大专,1-3年,全职,每年多次调薪、绩效奖金、五险一金、周末双休、员工旅游,最新,2019-06-27 09:20:20
CZ844893650J00257362506,Python开发工程师 可接受应届实习生,https://jobs.zhaopin.com/CZ844893650J00257362506.htm,上海培石信息科技有限公司,CZ844893650,民营,不限,https://company.zhaopin.com/CZ844893650.htm,北京-朝阳区,6K-10K,中技,不限,全职,五险一金、绩效奖金、年终分红、餐补、房补,最近,2019-06-26 09:42:21
CC397106612J00164010413,python开发工程师,https://jobs.zhaopin.com/CC397106612J00164010413.htm,北京开拓天际科技有限公司,CZ397106610,民营,100-499人,http://special.zhaopin.com/pagepublish/39710661/index.html,北京,10K-15K,本科,1-3年,全职,五险一金、绩效奖金、通讯补助、餐补,最近,2019-06-25 13:25:02
CC650539527J00075967714,Python/编程/人工智能老师,https://jobs.zhaopin.com/CC650539527J00075967714.htm,北京优游宝贝教育咨询有限公司,CZ650539520,民营,100-499人,https://company.zhaopin.com/CZ650539520.htm,北京,7K-12K,大专,1-3年,全职,无,招聘中,2019-06-24 13:09:45
CC497224230J00135135811,python开发工程师（广告系统）,https://jobs.zhaopin.com/CC497224230J00135135811.htm,北京流体网络科技有限公司,CZ497224230,民营,20-99人,https://company.zhaopin.com/CZ497224230.htm,北京,20K-40K,本科,3-5年,全职,试用期全额、五险一金、绩效奖金、股票期权、带薪年假,最近,2019-06-26 18:07:40
CC554174721J00128660414,python高级开发工程师,https://jobs.zhaopin.com/CC554174721J00128660414.htm,数据堂(北京)科技股份有限公司,CZ554174720,股份制企业,100-499人,https://company.zhaopin.com/CZ554174720.htm,北京-海淀区,15K-25K,本科,3-5年,全职,五险一金、绩效奖金、股票期权、弹性工作、定期体检,最近,2019-06-25 09:34:11
CC663934180J00120144009,python研发工程师（中国电信电渠部）,https://jobs.zhaopin.com/CC663934180J00120144009.htm,南京优玛软件科技有限公司北京鸿信科创分公司,CZ663934180,民营,100-499人,https://company.zhaopin.com/CZ663934180.htm,北京-石景山区,10K-15K,本科,3-5年,全职,每年多次调薪、五险一金、年底双薪、绩效奖金、带薪年假,最近,2019-06-26 15:49:25
CC191761023J00137875007,python,https://jobs.zhaopin.com/CC191761023J00137875007.htm,上海泓智信息科技有限公司,CZ191761020,上市公司,100-499人,https://company.zhaopin.com/CZ191761020.htm,北京,15K-20K,本科,3-5年,全职,年底双薪、五险一金、周末双休、带薪年假、定期体检,招聘中,2019-06-24 17:19:56
CC120810791J00116631712,python全栈工程师,https://jobs.zhaopin.com/CC120810791J00116631712.htm,北京春天医药科技发展有限公司,CZ120810790,民营,100-499人,https://company.zhaopin.com/CZ120810790.htm,北京-海淀区,15K-20K,本科,3-5年,全职,五险一金、通讯补助、采暖补贴、带薪年假、弹性工作,最新,2019-06-27 10:04:16
CC265090310J00141988512,python开发工程师,https://jobs.zhaopin.com/CC265090310J00141988512.htm,北京并行科技股份有限公司,CZ265090310,民营,100-499人,https://company.zhaopin.com/CZ265090310.htm,北京-海淀区,10K-20K,本科,1-3年,全职,五险一金、年底双薪、绩效奖金、餐补、带薪年假,最新,2019-06-27 10:08:18
CC552192784J00162807807,python开发工程师,https://jobs.zhaopin.com/CC552192784J00162807807.htm,图玛深维医疗科技(北京)有限公司,CZ552192780,民营,100-499人,https://company.zhaopin.com/CZ552192780.htm,北京,10K-20K,本科,3-5年,全职,周末双休、五险一金、年底双薪、弹性工作、带薪年假,招聘中,2019-06-24 11:35:23
CC573261525J00301217801,高级python开发工程师,https://jobs.zhaopin.com/CC573261525J00301217801.htm,武汉尚仕杰企业管理顾问有限公司,CZ573261520,民营,20-99人,https://company.zhaopin.com/CZ573261520.htm,北京,30K-50K,本科,5-10年,全职,五险一金、年底双薪、包吃、年终分红、股票期权,最新,2019-06-27 08:40:11
CC466059230J00260487104,Python开发工程师 可接受应届实习生,https://jobs.zhaopin.com/CC466059230J00260487104.htm,佳莱特科技有限公司,CZ466059230,民营,100-499人,https://company.zhaopin.com/CZ466059230.htm,北京,6K-8K,中专,不限,全职,五险一金、年底双薪、全勤奖、带薪年假、弹性工作,最新,2019-06-27 10:50:40
CZ844892590J00257429504,Python开发工程师 可接受应届实习生,https://jobs.zhaopin.com/CZ844892590J00257429504.htm,上海迅溢信息科技有限公司,CZ844892590,民营,不限,https://company.zhaopin.com/CZ844892590.htm,北京-房山区,6K-10K,中专,不限,全职,五险一金、年底双薪、绩效奖金、补充医疗保险、全额公积金,最近,2019-06-26 09:43:14
CC552192784J00228725607,高级python工程师,https://jobs.zhaopin.com/CC552192784J00228725607.htm,图玛深维医疗科技(北京)有限公司,CZ552192780,民营,100-499人,https://company.zhaopin.com/CZ552192780.htm,北京,20K-30K,本科,5-10年,全职,周末双休、五险一金、年底双薪、弹性工作、带薪年假,招聘中,2019-06-24 11:35:23
CC267406113J90250408000,高级爬虫工程师（java/python/c）,https://jobs.zhaopin.com/267406113250408.htm,网智天元科技集团股份有限公司,CZ267406110,民营,100-499人,https://company.zhaopin.com/CZ267406110.htm,北京-西城区,15K-30K,本科,5-10年,全职,五险一金、年底双薪、交通补助、餐补、带薪年假,最近,2019-06-26 09:54:39
CC464669316J00146784009,高级python开发工程师,https://jobs.zhaopin.com/CC464669316J00146784009.htm,北京钱方银通科技有限公司,CZ464669310,民营,100-499人,https://company.zhaopin.com/CZ464669310.htm,北京,15K-20K,本科,5-10年,全职,带薪年假、定期体检、节日福利、补充医疗保险、五险一金,最近,2019-06-26 11:08:13
CC138538534J00123376015,python运维开发工程师,https://jobs.zhaopin.com/CC138538534J00123376015.htm,北京金信润天信息技术股份有限公司,CZ138538530,股份制企业,100-499人,https://company.zhaopin.com/CZ138538530.htm,北京,8K-15K,本科,5-10年,全职,五险一金、定期体检、带薪年假、补充医疗保险、餐补,最新,2019-06-27 10:15:38
CC693696125J00112348113,Python中级工程师,https://jobs.zhaopin.com/CC693696125J00112348113.htm,乐飞天下信息技术(北京)有限公司,CZ693696120,民营,20-99人,https://company.zhaopin.com/CZ693696120.htm,北京,15K-25K,大专,3-5年,全职,五险一金、年终分红、餐补、带薪年假、弹性工作,最新,2019-06-27 08:51:43
CC000404489J00048069311,python后端开发工程师,https://jobs.zhaopin.com/CC000404489J00048069311.htm,北京首都在线科技股份有限公司,CZ000404480,股份制企业,100-499人,https://company.zhaopin.com/CZ000404480.htm,北京,20K-25K,大专,5-10年,全职,每年多次调薪、五险一金、周末双休、加班补助、全勤奖,最新,2019-06-27 09:20:03
CC267406113J00173320411,python采集工程师,https://jobs.zhaopin.com/CC267406113J00173320411.htm,网智天元科技集团股份有限公司,CZ267406110,民营,100-499人,https://company.zhaopin.com/CZ267406110.htm,北京,10K-20K,大专,5-10年,全职,五险一金、全勤奖、加班补助、餐补、交通补助,最近,2019-06-26 09:54:41
CC226598412J00145840910,2019年应届硕士/可解决户口/Python工程师/可转正,https://jobs.zhaopin.com/CC226598412J00145840910.htm,大唐融合通信股份有限公司,CZ226598410,国企,100-499人,http://special.zhaopin.com/pagepublish/22659841/index.html,北京-东城区,6K-8K,硕士,无经验,全职,五险一金、餐补、通讯补助、绩效奖金、补充医疗保险,最新,2019-06-27 17:31:16
CC390261416J90251931000,Python讲师,https://jobs.zhaopin.com/390261416251931.htm,北京千锋互联科技有限公司,CZ390261410,民营,500-999人,https://company.zhaopin.com/CZ390261410.htm,北京,20K-40K,大专,3-5年,全职,五险一金、绩效奖金、弹性工作、员工旅游、节日福利,最近,2019-06-26 09:31:19
CC489221130J00155345911,python讲师,https://jobs.zhaopin.com/CC489221130J00155345911.htm,北京创新乐知网络技术有限公司,CZ489221130,民营,100-499人,https://company.zhaopin.com/CZ489221130.htm,北京,15K-30K,本科,3-5年,全职,五险一金、年底双薪、绩效奖金、餐补、带薪年假,最新,2019-06-27 09:21:01
CC497224230J00134371811,Python开发工程师,https://jobs.zhaopin.com/CC497224230J00134371811.htm,北京流体网络科技有限公司,CZ497224230,民营,20-99人,https://company.zhaopin.com/CZ497224230.htm,北京,20K-40K,本科,3-5年,全职,周末双休、五险一金、不加班、节日福利、带薪年假,最近,2019-06-26 18:07:40
CC000584532J90256720000,Python web 开发工程师,https://jobs.zhaopin.com/000584532256720.htm,北京华胜天成科技股份有限公司,CZ000584530,上市公司,1000-9999人,https://company.zhaopin.com/CZ000584530.htm,北京-海淀区,15K-20K,本科,3-5年,全职,周末双休、五险一金、补充医疗保险、定期体检、带薪年假,招聘中,2019-06-24 17:31:48
CC464669316J90250424000,Python开发工程师,https://jobs.zhaopin.com/464669316250424.htm,北京钱方银通科技有限公司,CZ464669310,民营,100-499人,https://company.zhaopin.com/CZ464669310.htm,北京,6K-8K,本科,3-5年,全职,五险一金、年底双薪、绩效奖金、餐补、带薪年假,最新,2019-06-27 16:25:07
CC390081684J90250212000,python讲师,https://jobs.zhaopin.com/390081684250212.htm,北京网络职业学院,CZ390081680,民营,100-499人,https://company.zhaopin.com/CZ390081680.htm,北京-房山区,20K-30K,大专,3-5年,全职,五险一金、包吃、免费班车,最新,2019-06-27 14:20:32
CC710715230J00116280214,python实习生,https://jobs.zhaopin.com/CC710715230J00116280214.htm,北京百乘传媒技术有限公司,CZ710715230,民营,20-99人,https://company.zhaopin.com/CZ710715230.htm,北京,4K-6K,学历不限,不限,实习,五险一金、健身俱乐部、每年多次调薪、弹性工作、住房补贴,最新,2019-06-27 09:44:51
CC390081684J00063410212,Python 数据分析/人工智能讲师,https://jobs.zhaopin.com/CC390081684J00063410212.htm,北京网络职业学院,CZ390081680,民营,100-499人,https://company.zhaopin.com/CZ390081680.htm,北京-房山区,18K-25K,大专,5-10年,全职,五险一金、免费班车、包吃、周末双休、加班补助,最新,2019-06-27 14:20:32
CC447375014J00153979412,Python（人工智能方向）开发实习生,https://jobs.zhaopin.com/CC447375014J00153979412.htm,中青才智教育投资(北京)有限公司,CZ447375010,国企,500-999人,http://special.zhaopin.com/bf/2014/zgcrjy120485,北京,8K-16K,大专,不限,全职,五险一金、年底双薪、加班补助、全勤奖、房补,最新,2019-06-28 07:52:21
CC447375014J00153985212,AI人工智能（Python）开发实习生,https://jobs.zhaopin.com/CC447375014J00153985212.htm,中青才智教育投资(北京)有限公司,CZ447375010,国企,500-999人,http://special.zhaopin.com/bf/2014/zgcrjy120485,北京,8K-16K,大专,不限,全职,五险一金、年底双薪、加班补助、全勤奖、房补,最新,2019-06-28 07:54:36
